rel_period,att,se,ci_low,ci_high,zero_not_in_cband
-12,-0.0049980134963199105,0.005718086544930417,-0.016205257184866602,0.00620923019222678,
-11,0.0009426243291893773,0.005718234209774411,-0.010264908777133326,0.01215015743551208,
-10,0.002272402098333929,0.005832841191586845,-0.00915975656471798,0.013704560761385839,
-9,-0.007575231613607381,0.005756187680586593,-0.018857152155810252,0.003706688928595489,
-8,0.010900162879400472,0.005732759152042023,-0.00033583859064427284,0.022136164349445216,
-7,0.00015818770912258634,0.005762443097332676,-0.011135993224610896,0.011452368642856068,
-6,-0.008372869672991794,0.005721135631460114,-0.019586089461322436,0.002840350115338848,
-5,0.008573419622915199,0.005726513019507007,-0.0026503396523182513,0.01979717889814865,
-4,-0.0009166746015430343,0.005713871769777474,-0.012115657482587024,0.010282308279500954,
-3,-0.006447223420240655,0.005678877560099795,-0.01757761891064895,0.00468317207016764,
-2,0.011139768957684634,0.005660495987230154,4.540068808003492e-05,0.022234137227289234,*
-1,-0.007525749246139444,0.005583094860118397,-0.018468414094242193,0.003416915601963305,
0,0.011903943263134377,0.0056449136758394735,0.0008401157626513993,0.022967770763617355,*
1,-0.00011417456655771815,0.005521628294469686,-0.010936367159735626,0.010708018026620192,
2,0.00028956230394002803,0.005459927055764233,-0.010411698083573685,0.01099082269145374,
3,0.0029087445803802096,0.0058529495527290115,-0.00856282574629847,0.014380314907058891,
4,0.000992413928176896,0.00579554716182393,-0.010366649779701335,0.012351477636055127,
5,0.008619970339090966,0.005785943459543048,-0.00272027045819849,0.019960211136380423,
6,-7.28576938764311e-05,0.0060080526477660325,-0.011848424500718366,0.011702709112965504,
7,-0.004343919814299979,0.005945980272762595,-0.015997827001700313,0.007309987373100354,
8,0.0038544246851263233,0.0059392099670398536,-0.007786212946893111,0.015495062317145758,
9,0.005764281333656473,0.005979480616099806,-0.005955285320154521,0.017483847987467466,
10,-0.0004304915642862584,0.005874613909133365,-0.01194452324926571,0.011083540120693194,
11,-0.002719739350650268,0.005804517405158788,-0.014096384412397382,0.008656905711096846,
12,0.0016738158087541795,0.005977160419136181,-0.01004120334257107,0.013388834960079428,
