rel_period,att,se,ci_low,ci_high,zero_not_in_cband
-12,0.36955372080137494,0.1488549811543978,0.0778033188193668,0.6613041227833831,*
-11,0.057282502607331684,0.1323297278099534,-0.20207899798416534,0.31664400319882874,
-10,0.12193261220598499,0.10214586864188874,-0.07826961150167623,0.3221348359136462,
-9,0.26597522290515263,0.10239119094661782,0.06529217631561807,0.4666582694946872,*
-8,-0.3353071685466188,0.11133848363842139,-0.5535265865712268,-0.11708775052201079,*
-7,1.077649083342195,0.39488416175233854,0.3036903482423223,1.8516078184420677,*
-6,0.41062725815319856,0.7952434541678501,-1.1480212709570168,1.9692757872634141,
-5,-1.1299328490455323,0.7933438728933896,-2.684858267272098,0.4249925691810337,
-4,0.3634391816487517,0.16234450401421002,0.04524980069288187,0.6816285626046216,*
-3,-0.5668056905481526,0.31306765635816813,-1.1804070217345242,0.04679564063821906,
-2,0.3988524059788787,0.30975218603377014,-0.20825072277986145,1.0059555347376188,
-1,-0.3883449393781755,0.34838080259064125,-1.0711587653609906,0.29446888660463977,
0,0.2657775219209,0.23055204690684267,-0.1860961865785008,0.7176512304203008,
1,0.36597050211971055,0.3041248404575504,-0.23010323198107813,0.9620442362204993,
2,1.5151170806254621,0.9217993890213237,-0.291576522827359,3.321810684078283,
3,2.0430620965302326,1.1499491592452602,-0.21079683964259255,4.296921032703057,
4,2.4520110494003324,1.1684726511977637,0.16184673613268297,4.742175362667982,*
5,2.578820171923853,1.2923222640003809,0.045915078063842873,5.111725265783862,*
6,0.4014349346517134,0.5084385497838947,-0.5950863112764955,1.3979561805799223,
7,0.424883028590599,0.4596890665931908,-0.47609098601888955,1.3258570432000876,
8,-0.34585953256730123,0.43565294413972455,-1.1997236128400013,0.5080045477053989,
9,-0.38109670804336404,0.446739990167129,-1.2566909992247148,0.49449758313798675,
10,-0.19857848396847164,0.46679125261858606,-1.1134725273992385,0.7163155594622952,
11,0.2860694702830407,0.40927186319732145,-0.5160886414693133,1.0882275820353948,
12,2.243535816979764,1.0534212544203552,0.17886809776686263,4.308203536192665,*
